EmpID,FirstName,LastName,Dept,CourseName,StartDate, Grade ,Room,Instructor,Hours,Price
10001,Frank,Sullivan,PROD,"Microsoft Excel, Level 1",9/15/2017, 2.63 ,G218,Andrea Forster,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Excel, Level 2",9/16/2017, 2.63 ,G218,Andrea Forster,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Excel, Level 3",9/17/2017, 2.63 ,G218,Andrea Forster,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Excel, Level 4",11/6/2017, 2.76 ,G218,Andrea Forster,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Access, Level 1",1/19/2018, 3.43 ,G218,Bob Larson,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Access, Level 2",1/20/2018, 3.43 ,G218,Bob Larson,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Access, Level 3",1/21/2018, 3.43 ,G218,Bob Larson,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Access, Level 4",3/16/2018,,G218,Bob Larson,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Access, Level 5",3/17/2018,,G218,Bob Larson,7,$145.00
10001,Frank,Sullivan,PROD,Introduction to Computers,3/18/2017, 3.78 ,G219,Dan McIalwain,7,$145.00
10001,Frank,Sullivan,PROD,"Microsoft Windows 10, Level 1",3/5/2017, 2.00 ,R121,Dan McIalwain,7,$145.00
10025,Betty,Selby,PROD,"Microsoft Windows 10, Level 1",10/12/2016, 3.01 ,R121,Lyle Krueger,7,$145.00
10090,Ken,O'Brien,MKTG,"Microsoft PowerPoint, Level 1",2/9/2018, 4.00 ,G107,Dave Warner,7,$145.00
10090,Ken,O'Brien,MKTG,"Microsoft Word, Level 1",10/31/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10090,Ken,O'Brien,MKTG,"Microsoft Word, Level 2",11/1/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10090,Ken,O'Brien,MKTG,"Microsoft Word, Level 3",11/2/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10269,Ray,Duff,PROD,"Microsoft Windows 10, Level 1",10/12/2016, 3.01 ,R121,Lyle Krueger,7,$145.00
10270,Judy,Silby,MKTG,"Microsoft PowerPoint, Level 1",2/9/2018, 3.87 ,G107,Dave Warner,7,$145.00
10270,Judy,Silby,MKTG,"Microsoft Word, Level 1",10/31/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10270,Judy,Silby,MKTG,"Microsoft Word, Level 2",11/1/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10270,Judy,Silby,MKTG,"Microsoft Word, Level 3",11/2/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10393,Donna,Harrington,PROD,"Microsoft Windows 10, Level 1",10/12/2016, 3.01 ,R121,Lyle Krueger,7,$145.00
10430,Joel,Harding,MKTG,"Microsoft PowerPoint, Level 1",2/9/2018, 3.87 ,G107,Dave Warner,7,$145.00
10430,Joel,Harding,MKTG,"Microsoft Word, Level 1",10/31/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10430,Joel,Harding,MKTG,"Microsoft Word, Level 2",11/1/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
10430,Joel,Harding,MKTG,"Microsoft Word, Level 3",11/2/2017, 4.00 ,R123,Terrie Urbas,7,$145.00
